"file","name","parameters","returns","side_effects","version","notes"
"src/gp/evolution.py","run_round","(cfg: Config, store: DataStore, fe: FitnessEvaluator, lib: FactorLibrary, *, round_id: int, start_gen: int = 0)","EvolutionState","READ_DISK|WRITE_DISK","v0.1","执行一轮多代进化：初始种群大生成再筛→每代评估/去重/父子竞争/精英保留/相关性控制/反膨胀→checkpoint；只处理新增round/gen。"
"src/gp/evolution.py","run_generation","(state: EvolutionState, cfg: Config, fe: FitnessEvaluator, *, dates: list[str], codes: list[str])","EvolutionState","READ_DISK|WRITE_DISK","v0.1","执行单代：评估（FAST→FULL门控）、去重、选择、交叉/变异、父子竞争、精英保留、相关性惩罚；返回更新state并写generation摘要到out/candidates。"
"src/gp/evolution.py","resume_from_checkpoint","(path: str)","EvolutionState","READ_DISK","v0.1","从state/checkpoints读取并恢复进化状态（含随机种子与配置快照引用）；若cfg_fingerprint不一致需拒绝或显式强制重跑。"
"src/cache_plan/planner.py","plan_cache_manifest","(exprs: list[str], ops: OpRegistry, features: FeatureRegistry, *, budget_bytes: int, n_dates: int, n_codes: int)","dict[str, Any]","NONE","v0.1","缓存规划器：AST→DAG→统计子表达式频次+成本模型+存储估计→在预算内选择物化集合；manifest需包含node_hash、freq、est_cost、est_bytes、deps_hash、invalidate_rules。"
"src/cache_plan/planner.py","write_manifest","(manifest: dict[str, Any], path: str)","None","WRITE_DISK","v0.1","将manifest写入out/cache_plan；需原子写；便于物化脚本与复现。"
"src/cache_plan/planner.py","load_manifest","(path: str)","dict[str, Any]","READ_DISK","v0.1","读取manifest；需校验schema版本与cfg_fingerprint一致。"
"src/cache_plan/materialize.py","materialize_manifest","(manifest: dict[str, Any], ev: ExpressionEvaluator, store: DataStore, panel: dict[str, pd.DataFrame], dates: list[str], codes: list[str])","dict[str, Any]","READ_DISK|WRITE_DISK","v0.1","按manifest逐项计算并落盘到data/cache；记录耗时、成功率、bytes与失败原因；必须遵守keep_last滚动。"
"src/cache_plan/materialize.py","materialize_one","(node_hash: str, dag: ExprDAG, ev: ExpressionEvaluator, *, start: str, end: str, codes: list[str])","dict[str, Any]","READ_DISK|WRITE_DISK","v0.1","物化单个子表达式hash；用于失败重试/分块；需输出命中/失败原因与产物路径。"
"src/parallel/executor.py","Executor","(class; abstract interface)","Executor","NONE","v0.1","并行端口抽象：业务层只依赖Executor接口；本机实现可多进程spawn兼容；未来可替换Ray/Dask而不改业务逻辑。"
"src/parallel/executor.py","Executor.submit","(self: Executor, fn: Callable[(cfg: Config), Any], args: tuple[Any, (cfg: Config)])","Any","NONE","v0.1","提交单任务并返回future/handle；具体future类型由实现决定但需支持result()语义。 [CONTRACT_NORMALIZED_V0_1_NEEDS_REVIEW]"
"src/parallel/executor.py","Executor.map","(self: Executor, fn: Callable[(cfg: Config), Any], items: list[Any], *, chunksize: int = 1)","list[Any]","NONE","v0.1","批量映射；实现需避免复制巨型面板：建议items为key/日期分片，worker内部从DataStore读取。 [CONTRACT_NORMALIZED_V0_1_NEEDS_REVIEW]"
"src/parallel/executor.py","Executor.shutdown","(self: Executor, *, wait: bool = True)","None","NONE","v0.1","关闭资源；run结束必须调用以回收进程。"
"src/parallel/local_pool.py","create_local_executor","(cfg: Config)","Executor","NONE","v0.1","创建本机多进程Executor实现；需spawn兼容；worker初始化应最小化全局状态，避免pickle大对象。"
"src/utils/logging.py","get_logger","(name: str = 'dfq_gp')","logging.Logger","WRITE_DISK","v0.1","统一日志：控制台+文件(out/logs/)；日志中需绑定run_id/round/gen上下文；必须支持step/loop_progress/metrics。"
"src/utils/logging.py","set_run_context","(logger: logging.Logger, *, run_id: str, round_id: int | None = None, gen_id: int | None = None)","None","NONE","v0.1","绑定上下文到logger（可用LoggerAdapter）；用于全链路可追溯日志。"
"src/utils/logging.py","log_step","(logger: logging.Logger, step: str, *, extra: dict[str, Any] | None = None)","None","NONE","v0.1","记录阶段性进度（下载/构建/评估/进化/入库/物化等）；要求结构化字段便于grep与统计。"
"src/utils/logging.py","log_metrics","(logger: logging.Logger, metrics: dict[str, Any], *, prefix: str = '')","None","NONE","v0.1","记录指标字典（ic/icir/n/miss/cache_hit等）；对浮点保留合理精度并避免日志膨胀。"
"src/utils/fileio.py","ensure_dir","(path: str)","None","WRITE_DISK","v0.1","确保目录存在；用于data/out/state子目录初始化；必须并发安全。"
"src/utils/fileio.py","atomic_write_text","(path: str, text: str, *, encoding: str = 'utf-8')","None","WRITE_DISK","v0.1","原子写入文本（写临时文件→fsync→rename）；用于manifest/checkpoint/report避免损坏。"
"src/utils/fileio.py","atomic_write_bytes","(path: str, data: bytes)","None","WRITE_DISK","v0.1","原子写入二进制；用于pickle checkpoint等。"
"src/utils/fileio.py","append_with_rolloff","(path: str, df: pd.DataFrame, *, keep_last: int = 252, key_cols: list[str] = ['date'])","pd.DataFrame","READ_DISK|WRITE_DISK","v0.1","追加写入并滚动保留：用于out/ts时序记录与panel增量；必须去重并按date排序；禁止全量重写。"
"src/utils/fileio.py","with_file_lock","(lock_path: str, *, timeout_s: float = 30.0)","contextmanager","READ_DISK|WRITE_DISK","v0.1","文件锁上下文：保护多进程写同一资源；失败模式：超时需抛异常并提示用户降低并行度。"
"src/utils/state.py","load_manifest","(path: str = 'state/manifest.json')","dict[str, Any]","READ_DISK","v0.1","读取运行manifest：已处理日期、round/gen、窗口、版本、随机种子、配置快照引用；用于增量与断点续跑。"
"src/utils/state.py","save_manifest","(manifest: dict[str, Any], path: str = 'state/manifest.json')","None","WRITE_DISK","v0.1","保存manifest；必须原子写；更新时需保持schema稳定并记录cfg_fingerprint。"
"src/utils/state.py","save_checkpoint","(state: EvolutionState, path: str)","None","WRITE_DISK","v0.1","保存round/gen checkpoint（含population/metrics/rng_state/cfg_fingerprint）；用于断点续跑；必须原子写。"
"src/utils/state.py","load_checkpoint","(path: str)","EvolutionState","READ_DISK","v0.1","加载checkpoint；必须校验与当前cfg_fingerprint/数据版本匹配，否则拒绝恢复或要求显式强制。"
"src/utils/filters.py","tradable_mask","(panel: dict[str, pd.DataFrame], *, include_limit: bool = False)","pd.DataFrame(date×code, bool)","NONE","v0.1","可交易样本过滤：停牌/无成交量/异常值/（可选）涨跌停；用于fitness与IC计算的样本一致性。"
"src/utils/filters.py","limit_move_mask","(close: pd.DataFrame, *, up_limit: float = 0.095, down_limit: float = -0.095)","pd.DataFrame(date×code, bool)","NONE","v0.1","涨跌停过滤mask（A股可配置）；阈值口径需在data_contract说明；用于样本剔除与覆盖率统计。"
"src/utils/filters.py","apply_mask","(x: pd.DataFrame, mask: pd.DataFrame)","pd.DataFrame","NONE","v0.1","将mask应用到面板（不可交易置nan）；必须保持对齐并统计被剔除比例。"
"src/utils/numerics.py","winsorize_cs","(x: pd.DataFrame, *, lower_q: float = 0.01, upper_q: float = 0.99)","pd.DataFrame","NONE","v0.1","按日横截面winsorize；供preprocess与可选ops使用；必须处理全nan/样本不足。"
"src/utils/numerics.py","zscore_cs","(x: pd.DataFrame)","pd.DataFrame","NONE","v0.1","按日横截面标准化；需处理std=0情形并记录。"
"src/utils/numerics.py","rank_cs","(x: pd.DataFrame, *, pct: bool = True)","pd.DataFrame","NONE","v0.1","按日横截面rank（可转[0,1]分位）；用于rankIC与部分算子。"
"src/utils/numerics.py","pairwise_corr","(a: pd.DataFrame, b: pd.DataFrame, *, method: str = 'spearman')","float","NONE","v0.1","计算两个因子面板的相关（对齐后展平或逐日聚合）；用于相关性惩罚与去相关筛选。"
